term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
in someone's shoes	clitic	10	3	10	0.30	no	Do you walk in my shoes?	in … my … shoes
know someone when	filled	10	0	10	0.00	no	And when we know the world, the world is ours.	when … know … world
lie at one's door	clitic	10	0	10	0.00	no	Her lie reflected my lie, and suddenly, I felt nothing.	Her … lie
look at oneself in the mirror	filled	10	9	10	0.90	yes	He looked at him in the mirror.	looked … at … him … in … the … mirror
love of one's life	clitic	10	10	10	1.00	yes		
mind one's business	clitic	10	10	10	1.00	yes		
of one's word	clitic	10	5	10	0.50	no	He soon comprehended the significance of her words.	of … her … words
owe it to oneself	filled	10	1	10	0.10	no	And you owe it to me.	owe … it … to … me
play one's part	filled	10	6	10	0.60	yes	He played a minor part in the play.	played … part … play
raise one's voice	clitic	10	10	10	1.00	yes		
redeem oneself	filled	10	4	10	0.40	no	Fear of death alone does not redeem sins.	redeem … sins
risk one's life	clitic	10	10	10	1.00	yes		
see oneself out	filled	10	0	10	0.00	no	Come on, I'll see you out.	see … you … out
take one up	clitic	10	5	10	0.50	no	I cannot take it up.	take … it … up
use one's head	clitic	10	10	10	1.00	yes		
against someone's will	clitic	9	9	9	1.00	yes		
before one's eyes	clitic	9	9	9	1.00	yes		
beg someone's pardon	clitic	9	9	9	1.00	yes		
bird of one's own brain	filled	9	0	9	0.00	no	A falcon is a bird of prey.	bird … of … prey
break one's fall	clitic	9	0	9	0.00	no	Check out my break!	my … break
do one's part	clitic	9	9	9	1.00	yes		
fruit of one's loins	clitic	9	0	9	0.00	no	Apricots are my favorite fruit.	my … fruit
get someone there	clitic	9	8	9	0.89	yes	She's got you on a long leash there, Mark.	got … you … there
have one's way	clitic	9	6	9	0.67	yes	Afraid I'll have my way with you?	have … my … way
in something's favor	clitic	9	6	9	0.67	yes	I don't expect you to repay my favor.	my … favor
keep someone company	filled	9	9	9	1.00	yes		
make one's way	filled	9	6	9	0.67	yes	Get back, make way for the gentleman!	make … way … gentleman
on one's back	filled	9	1	9	0.11	no	Climb on Cu's back with your sister.	on … Cu … back
on someone's back	filled	9	5	9	0.56	no	Did you see what I put on the back of the car?	on … back … car
one's turn	filled	9	9	9	1.00	yes		
roof over one's head	clitic	9	3	9	0.33	no	He had his roof damaged.	his … roof
serve someone right	filled	9	8	9	0.89	yes	You loved the book, if memory serves me right.	serves … me … right
sugar in one's tank	filled	9	0	9	0.00	no	A diabetic has too much sugar in his blood and in his urine.	sugar … in … blood
up someone's ass	clitic	9	0	9	0.00	no	By subtracting the pole up your ass and adding Facebook?	up … your … ass
walk one's shots	clitic	9	0	9	0.00	no	Enjoy your walk?	your … walk
watch one's step	clitic	9	8	9	0.89	yes	White devil will be watching your every step.	watching … your … step
at someone's door	clitic	8	8	8	1.00	yes		
bird of one's own brain	clitic	8	0	8	0.00	no	And all I have left are my clothes, my porcelain bird and my Hesperis Diviniana.	my … bird
bring out of oneself	clitic	8	0	8	0.00	no	Bring her on out, Rob.	Bring … her … out
feel someone's pain	filled	8	0	8	0.00	no	All of a sudden, I felt a sharp pain in my stomach.	felt … pain … stomach
fill one's hand	clitic	8	0	8	0.00	no	Better eat your fill.	your … fill
from the bottom of one's heart	clitic	8	8	8	1.00	yes		
have someone's ear	filled	8	0	8	0.00	no	He has a good ear for music.	has … ear … music
in someone's eyes	filled	8	4	8	0.50	no	I can see it in their eyes.	in … their … eyes
make someone's day	clitic	8	7	8	0.88	yes	You make my day so much brighter.	make … my … day
on one's own	filled	8	7	8	0.88	yes	A stone is heavy on its own turf.	on … own … turf
one's fill	clitic	8	8	8	1.00	yes		
pull oneself together	clitic	8	8	8	1.00	yes		
roll up one's sleeves	clitic	8	8	8	1.00	yes		
scare someone to death	filled	8	8	8	1.00	yes		
stick to one's last	clitic	8	0	8	0.00	no	He beat on a drunken man with his stick.	his … stick
stretch one's legs	clitic	8	5	8	0.62	yes	I stretched out my legs.	stretched … my … legs
turn someone's head	clitic	8	0	8	0.00	no	The point is not just to turn your head.	turn … your … head
vote with one's feet	clitic	8	0	8	0.00	no	Because if there is, you know you have my vote.	my … vote
vote with one's wallet	clitic	8	0	8	0.00	no	Because if there is, you know you have my vote.	my … vote
be on one's beanwater	clitic	7	0	7	0.00	no	He speaks a little bit, all of his time is taken up by his farm work.	his … is
be on one's bullshit	clitic	7	0	7	0.00	no	He speaks a little bit, all of his time is taken up by his farm work.	his … is
be on someone's dick	clitic	7	0	7	0.00	no	He speaks a little bit, all of his time is taken up by his farm work.	his … is
break one's neck	clitic	7	0	7	0.00	no	A man could slip and break his neck!	break … his … neck
come one's way	filled	7	0	7	0.00	no	But it's coming all the way from America!	coming … way … America
cut someone slack	filled	7	7	7	1.00	yes		
cut someone some slack	filled	7	7	7	1.00	yes		
for one's part	clitic	7	7	7	1.00	yes		
get out of someone's face	clitic	7	4	7	0.57	no	Get that camera out of my face, you haole piece of shit!	Get … out … of … my … face
go one's way	filled	7	0	7	0.00	no	Am I going the right way to Tomshino?	going … way … Tomshino
go one's ways	filled	7	0	7	0.00	no	Am I going the right way to Tomshino?	going … way … Tomshino
have someone's blood	filled	7	5	7	0.71	yes	But Definite also had the dual blood of Durga and Sardar Khan.	had … blood … Durga
lose one's life	clitic	7	7	7	1.00	yes		
mind one's own business	clitic	7	7	7	1.00	yes		
on one's conscience	clitic	7	7	7	1.00	yes		
on one's plate	clitic	7	4	7	0.57	no	Eat everything on your plate.	on … your … plate
on someone's account	clitic	7	5	7	0.71	yes	I put three on your account.	on … your … account
on someone's ass	clitic	7	5	7	0.71	yes	On your asses, bastards!	On … your … asses
one's last	clitic	7	4	7	0.57	no	Cobbler, stick to your last.	your … last
run for one's life	clitic	7	7	7	1.00	yes		
sell one's soul	clitic	7	7	7	1.00	yes		
serve someone right	clitic	7	7	7	1.00	yes		
speak one's mind	clitic	7	7	7	1.00	yes		
speak someone's language	clitic	7	7	7	1.00	yes		
take one's life	clitic	7	5	7	0.71	yes	Each time I go upstairs, I take my life in my hands.	take … my … life
take someone's life	clitic	7	7	7	1.00	yes		
talk through one's ass	clitic	7	0	7	0.00	no	He needs a few jokes to lighten up his talk.	his … talk
think one is it	filled	7	0	7	0.00	no	I don't think it's worth it.	I … think … 's … it
to one's way of thinking	clitic	7	0	7	0.00	no	His way of thinking is very childish.	His … way … of … thinking
up one's sleeve	clitic	7	7	7	1.00	yes		
up one's sleeves	clitic	7	7	7	1.00	yes		
wait one's turn	clitic	7	7	7	1.00	yes		
at one's risk	filled	6	0	6	0.00	no	He rescued the dog at the risk of his own life.	at … risk … life
be oneself	clitic	6	6	6	1.00	yes		
because one can	filled	6	1	6	0.17	no	Because I can't.	Because … I … can
believe one's ears	clitic	6	6	6	1.00	yes		
bite one's thumb	filled	6	0	6	0.00	no	A bite of heaven, on earth.	bite … heaven
bite one's tongue	filled	6	0	6	0.00	no	A bite of heaven, on earth.	bite … heaven
blow one's nose	clitic	6	6	6	1.00	yes		
comb one's hair	clitic	6	6	6	1.00	yes		
come to someone's rescue	clitic	6	6	6	1.00	yes		
drive someone nuts	clitic	6	6	6	1.00	yes		
eat someone alive	filled	6	6	6	1.00	yes		
fall into someone's hands	filled	6	6	6	1.00	yes		
follow one's heart	clitic	6	6	6	1.00	yes		
get someone's back	clitic	6	5	6	0.83	yes	Get your back against the fence.	Get … your … back
give one's best	clitic	6	6	6	1.00	yes		
have someone's head	filled	6	1	6	0.17	no	And he had this full head of steam.	had … head … steam
in one's backyard	clitic	6	6	6	1.00	yes		
in someone's day	clitic	6	6	6	1.00	yes		
in something's way	filled	6	0	6	0.00	no	Each person must make his or her way in the world.	way … in … world
meat on one's bones	clitic	6	0	6	0.00	no	Help me beat my meat.	my … meat
pass one's word	filled	6	0	6	0.00	no	A pass to Cuauhtemoc Which stops it.	pass … Cuauhtemoc
pee oneself	filled	6	2	6	0.33	no	Car was shaking so much that I almost peed a little bit.	peed … bit
put someone in a box	filled	6	1	6	0.17	no	Could you put these in a box?	put … these … in … a … box
raise one's head	clitic	6	6	6	1.00	yes		
shut one's trap	clitic	6	6	6	1.00	yes		
slip one's wind	filled	6	0	6	0.00	no	A slip of the tongue is sometimes fatal to a politician.	slip … tongue
stick one's tongue out	clitic	6	6	6	1.00	yes		
stick out one's tongue	clitic	6	6	6	1.00	yes		
suck up (to someone)	filled	6	6	6	1.00	yes		
take one's leave	clitic	6	6	6	1.00	yes		
that'll learn someone	filled	6	0	6	0.00	no	That is how she learns English.	That … learns … English
to one's rescue	clitic	6	6	6	1.00	yes		
top of one's class	clitic	6	6	6	1.00	yes		
victim of one's own success	clitic	6	0	6	0.00	no	Authority corrupts its holder and debases its victims.	its … victims
with one's bare hands	clitic	6	6	6	1.00	yes		
bet one's ass	filled	5	0	5	0.00	no	He made a bet with her.	bet … her
break one's back	clitic	5	2	5	0.40	no	Before you jump in, lift him off me, he's breaking my back.	breaking … my … back
break someone's back	clitic	5	2	5	0.40	no	Before you jump in, lift him off me, he's breaking my back.	breaking … my … back
change one's mind	filled	5	5	5	1.00	yes		
change one's ways	clitic	5	3	5	0.60	yes	It is hard for an old man to change his way of thinking.	change … his … way
change someone's mind	filled	5	5	5	1.00	yes		
come one's way	clitic	5	4	5	0.80	yes	On her way home, Mary came across John.	her … way … came
crack one	clitic	5	1	5	0.20	no	Just crack it.	crack … it
do one's bit	filled	5	0	5	0.00	no	And now, we'll do a bit of magic.	do … bit … magic
drive someone insane	filled	5	5	5	1.00	yes		
drop someone a line	filled	5	5	5	1.00	yes		
eat one's fill	clitic	5	5	5	1.00	yes		
get ahead of oneself	filled	5	2	5	0.40	no	I got a couple cars ahead of you.	got … ahead … of … you
get one's kicks	filled	5	4	5	0.80	yes	Keep running, else you'll get a kick on your ass.	get … kick … ass
give someone five	filled	5	2	5	0.40	no	If he gets violent, give him five of them.	give … him … five
give someone the bag	filled	5	5	5	1.00	yes		
give someone the time	filled	5	2	5	0.40	no	Give me half the time you took to read a book!	Give … me … the … time
give something a go	filled	5	2	5	0.40	no	Give Mossy a go first, will you?	Give … Mossy … a … go
handle oneself	clitic	5	5	5	1.00	yes		
have one's work cut out	clitic	5	5	5	1.00	yes		
hold one's horses	clitic	5	5	5	1.00	yes		
hold one's tongue	clitic	5	5	5	1.00	yes		
hold someone's hand	filled	5	5	5	1.00	yes		
in one's head	filled	5	4	5	0.80	yes	He found them in the pigeon's heads, behind the eyes.	in … pigeon … heads
in one's midst	filled	5	0	5	0.00	no	He fainted in the midst of his speech.	in … midst … speech
last thing one needs	filled	5	5	5	1.00	yes		
lay one down	clitic	5	5	5	1.00	yes		
measure one's length	filled	5	0	5	0.00	no	I fear I cannot ever feel that same measure of love again.	measure … love
of one's word	filled	5	0	5	0.00	no	A lot of words in Toki Pona can mean different things.	of … words … Toki Pona
off one's face	clitic	5	0	5	0.00	no	He wiped the sweat off his face.	off … his … face
on one's ones	filled	5	0	5	0.00	no	And on each one of their phones, the exact same images.	on … one … phones
on one's watch	clitic	5	4	5	0.80	yes	What time do you have on your watch?	on … your … watch
one's days are numbered	clitic	5	5	5	1.00	yes		
one's hour	clitic	5	1	5	0.20	no	I've been working on something in my off hours.	my … hours
open one's heart	clitic	5	5	5	1.00	yes		
price on someone's head	filled	5	2	5	0.40	no	It's difficult to put a price on a human life.	price … on … life
put someone in hospital	filled	5	2	5	0.40	no	Put him in a psychiatric hospital!	Put … him … in … hospital
shoot oneself in the foot	filled	5	2	5	0.40	no	He shoots him in the foot, he tells him to go fuck himself.	shoots … him … in … the … foot
show one's hand	clitic	5	0	5	0.00	no	Show me your fucking hands!	Show … your … hands
skin someone alive	filled	5	5	5	1.00	yes		
sleep one off	filled	5	5	5	1.00	yes		
slip someone's mind	clitic	5	5	5	1.00	yes		
spell one's name	clitic	5	5	5	1.00	yes		
spell someone's name	clitic	5	5	5	1.00	yes		
stuck on oneself	filled	5	4	5	0.80	yes	Dang door stuck on me.	stuck … on … me
swallow one's pride	clitic	5	5	5	1.00	yes		
take one's own life	clitic	5	5	5	1.00	yes		
that'll teach someone	clitic	5	5	5	1.00	yes		
to save one's life	clitic	5	5	5	1.00	yes		
trip over oneself	filled	5	0	5	0.00	no	Be careful not to trip over this rock.	trip … over … rock
wipe someone's nose	clitic	5	5	5	1.00	yes		
with all one's might	clitic	5	5	5	1.00	yes		
with one's eyes open	clitic	5	5	5	1.00	yes		
worth one's while	clitic	5	0	5	0.00	no	Another opportunity for one of the Shire-folk to prove their great worth.	their … worth
about one's person	filled	4	0	4	0.00	no	But right now I'm worried about the people at the senior center.	about … people … center
beat someone's time	filled	4	0	4	0.00	no	He marches to the beat of a different drummer.	beat … drummer
behind someone's back	filled	4	3	4	0.75	yes	Put your hands behind your back.	behind … your … back
break one's balls	clitic	4	4	4	1.00	yes		
break someone's balls	clitic	4	4	4	1.00	yes		
catch one's breath	clitic	4	4	4	1.00	yes		
clench one's fists	clitic	4	4	4	1.00	yes		
crap oneself	filled	4	3	4	0.75	yes	Because I was so scared that I was literally crapping liquid in my pants.	crapping … liquid
cross someone's path	clitic	4	4	4	1.00	yes		
cut of one's jib	clitic	4	0	4	0.00	no	Hey, my cut is gone!	my … cut
do one's homework	filled	4	4	4	1.00	yes		
do somebody wrong	clitic	4	0	4	0.00	no	Then you're doing it wrong.	doing … it … wrong
do well for oneself	filled	4	0	4	0.00	no	I can do just as well for you, though.	do … well … for … you
drive someone mad	clitic	4	4	4	1.00	yes		
drive someone up the wall	filled	4	4	4	1.00	yes		
end one's life	clitic	4	4	4	1.00	yes		
feel someone's pain	clitic	4	4	4	1.00	yes		
fold one's arms	clitic	4	4	4	1.00	yes		
for one's heart	clitic	4	2	4	0.50	no	I was aiming for your heart.	for … your … heart
frame one	clitic	4	3	4	0.75	yes	Just in case you wanna frame it.	frame … it
frog in one's pocket	filled	4	0	4	0.00	no	I have a frog in my throat.	frog … in … throat
frog in one's throat	filled	4	2	4	0.50	no	The school janitor ate the frog in our classroom.	frog … in … classroom
gather oneself together	filled	4	0	4	0.00	no	Gather them together.	Gather … them … together
get one's hands dirty	clitic	4	2	4	0.50	no	I got my hands quite dirty.	got … my … hands … dirty
get something over with	filled	4	4	4	1.00	yes		
give it to someone	clitic	4	4	4	1.00	yes		
give one's word	filled	4	4	4	1.00	yes		
give someone line	filled	4	4	4	1.00	yes		
go out of one's way	clitic	4	4	4	1.00	yes		
have blood on one's hands	clitic	4	4	4	1.00	yes		
have someone's head	clitic	4	0	4	0.00	no	He had his head in the clouds in class.	had … his … head
hold oneself together	filled	4	3	4	0.75	yes	Hold the two handsets together.	Hold … handsets … together
hurt someone's feelings	filled	4	4	4	1.00	yes		
in one's pocket	filled	4	4	4	1.00	yes		
in someone's blood	filled	4	0	4	0.00	no	I am thine enemy, wallowing in the blood of my sins!	in … blood … sins
in someone's pocket	filled	4	0	4	0.00	no	It is in the pocket of my jacket.	in … pocket … jacket
in someone's shoes	filled	4	4	4	1.00	yes		
in spite of oneself	filled	4	0	4	0.00	no	He came in spite of bad weather.	in … spite … of … weather
keep one's voice down	clitic	4	4	4	1.00	yes		
keep someone guessing	filled	4	4	4	1.00	yes		
keep someone occupied	filled	4	4	4	1.00	yes		
keep someone posted	filled	4	4	4	1.00	yes		
leave someone hanging	clitic	4	3	4	0.75	yes	I just left it hanging for ten years.	left … it … hanging
leave someone hanging	filled	4	4	4	1.00	yes		
leave someone in the lurch	filled	4	4	4	1.00	yes		
let oneself go	clitic	4	4	4	1.00	yes		
live beyond one's means	clitic	4	4	4	1.00	yes		
live within oneself	filled	4	0	4	0.00	no	I live within spitting distance of the underground station.	live … within … distance
lose one's head	clitic	4	3	4	0.75	yes	My husband says I'd probably lose my head if it weren't screwed on.	lose … my … head
lose one's virginity	clitic	4	4	4	1.00	yes		
off one's rocker	clitic	4	4	4	1.00	yes		
on one's guard	clitic	4	4	4	1.00	yes		
on one's toes	clitic	4	1	4	0.25	no	Don't step on my toes.	on … my … toes
on someone's books	clitic	4	1	4	0.25	no	Did you spill something on my book?	on … my … book
on someone's doorstep	clitic	4	4	4	1.00	yes		
on someone's hands	filled	4	1	4	0.25	no	Gunshot residue was found on Tom's hands.	on … Tom … hands
open one's mind	clitic	4	4	4	1.00	yes		
pass in one's checks	clitic	4	0	4	0.00	no	In this confusion, I'll reach the stage with my all India radio pass.	my … pass
pass one's word	clitic	4	0	4	0.00	no	In this confusion, I'll reach the stage with my all India radio pass.	my … pass
pay one's respects	clitic	4	4	4	1.00	yes		
piece of someone	clitic	4	0	4	0.00	no	Have my piece of cake if you like.	my … piece
play one's part	clitic	4	4	4	1.00	yes		
pull the wool over someone's eyes	clitic	4	4	4	1.00	yes		
put one's foot down	clitic	4	4	4	1.00	yes		
put oneself in someone's shoes	filled	4	4	4	1.00	yes		
read someone's mind	clitic	4	4	4	1.00	yes		
see one's breath	filled	4	0	4	0.00	no	All I've seen at the worksites are student marching bands.	All … seen
sleep one off	clitic	4	4	4	1.00	yes		
slip off someone's tongue	clitic	4	0	4	0.00	no	Bring your pay slips?	your … slips
slip one's wind	clitic	4	0	4	0.00	no	Bring your pay slips?	your … slips
spare someone the details	filled	4	4	4	1.00	yes		
spread one's legs	clitic	4	4	4	1.00	yes		
stare someone in the face	filled	4	4	4	1.00	yes		
strike one's flag	filled	4	0	4	0.00	no	Dave, Jay, Luke, Ken mine strike on Normandy.	mine … strike
take one's time	filled	4	3	4	0.75	yes	Mother took time off from work.	took … time … work
take someone's arm	clitic	4	3	4	0.75	yes	Take your arm out!	Take … your … arm
take someone's breath away	clitic	4	4	4	1.00	yes		
take upon oneself	filled	4	4	4	1.00	yes		
the sun sets on something	filled	4	1	4	0.25	no	The sun is setting on the horizon.	The … sun … setting … on … horizon
tie someone up	clitic	4	2	4	0.50	no	Tie it all up and then stuff him back down the hole.	Tie … it … up
time of one's life	clitic	4	1	4	0.25	no	It was the happiest time of my life.	time … of … my … life
tip one's hat	clitic	4	4	4	1.00	yes		
to one's advantage	clitic	4	4	4	1.00	yes		
to one's feet	clitic	4	3	4	0.75	yes	You'll come to my feet?	to … my … feet
to the best of one's knowledge	clitic	4	4	4	1.00	yes		
twist someone's arm	clitic	4	4	4	1.00	yes		
under one's arm	clitic	4	4	4	1.00	yes		
wash one's hands	filled	4	3	4	0.75	yes	Or wash their hands after they shook yours?	wash … their … hands
watch one's back	clitic	4	4	4	1.00	yes		
while one is at it	filled	4	4	4	1.00	yes		
work someone's ass off	clitic	4	4	4	1.00	yes		
assert oneself	filled	3	2	3	0.67	yes	We must assert our right on your possessions.	assert … right
at one's leisure	clitic	3	3	3	1.00	yes		
bite one's thumb	clitic	3	0	3	0.00	no	I don't want to lose my bite.	my … bite
bite one's tongue	clitic	3	0	3	0.00	no	I don't want to lose my bite.	my … bite
break someone's heart	filled	3	3	3	1.00	yes		
butter someone's biscuit	filled	3	0	3	0.00	no	I don't want butter on my sandwich.	butter … sandwich
catch one's death	filled	3	3	3	1.00	yes		
change one's ways	filled	3	3	3	1.00	yes		
chase one's tail	filled	3	0	3	0.00	no	A wild-goose chase over here at Nakatomi Plaza.	chase … Nakatomi Plaza
clear someone's name	clitic	3	3	3	1.00	yes		
close one's doors	clitic	3	1	3	0.33	no	Close my door.	Close … my … door
close one's doors	filled	3	0	3	0.00	no	Did you close the door to your bedroom?	close … door … bedroom
cover one's tracks	clitic	3	3	3	1.00	yes		
cross one's arms	clitic	3	3	3	1.00	yes		
cut one loose	filled	3	3	3	1.00	yes		
cut someone loose	filled	3	2	3	0.67	yes	They had to call the paramedics to cut the prick loose.	cut … prick … loose
dance to someone's tune	filled	3	3	3	1.00	yes		
do one's business	filled	3	0	3	0.00	no	And I'm here to do the devil's business.	do … devil … business
do someone's business	filled	3	1	3	0.33	no	I got fired for doing business with you.	doing … business … you
drag one's feet	clitic	3	3	3	1.00	yes		
eat one's dinners	clitic	3	3	3	1.00	yes		
fall off one's chair	clitic	3	0	3	0.00	no	My fall was a complete success.	My … fall
feel one's way	clitic	3	3	3	1.00	yes		
feel one's way	filled	3	0	3	0.00	no	Everybody feels that way sometimes.	feels … that … way
fill one's hand	filled	3	0	3	0.00	no	Didn't you have your fill from Evelyn?	fill … Evelyn
find one's place	clitic	3	1	3	0.33	no	Find your own place to hide!	Find … your … place
for one's own good	clitic	3	3	3	1.00	yes		
get one's hopes up	clitic	3	3	3	1.00	yes		
get one's shit together	clitic	3	3	3	1.00	yes		
get someone's goat	clitic	3	2	3	0.67	yes	With motorcycle access only, tricky to get your goat there.	get … your … goat
get under someone's skin	clitic	3	2	3	0.67	yes	I've got the Devil under my skin!	got … under … my … skin
give someone hell	filled	3	2	3	0.67	yes	If war breaks out, we'll give them a hell of a time.	give … them … hell
give something a go	clitic	3	3	3	1.00	yes		
go to someone's head	clitic	3	0	3	0.00	no	And you my go.	my … go
go with one's gut	clitic	3	0	3	0.00	no	And you my go.	my … go
grit one's teeth	clitic	3	3	3	1.00	yes		
hang one's hat	clitic	3	0	3	0.00	no	He hung his hat on a nail.	hung … his … hat
have one's fill	filled	3	3	3	1.00	yes		
hit one hard	clitic	3	3	3	1.00	yes		
hold one's ground	clitic	3	3	3	1.00	yes		
in a world of one's own	filled	3	0	3	0.00	no	I'm an exile in a world of dreary khaki.	in … a … world … of … khaki
in one's bones	clitic	3	2	3	0.67	yes	My lowlife traits are like cancer in my bones.	in … my … bones
in someone's boots	clitic	3	1	3	0.33	no	There's a snake in my boot!	in … my … boot
keep one's countenance	clitic	3	0	3	0.00	no	I earned my keep.	my … keep
keep one's eyes peeled	clitic	3	3	3	1.00	yes		
keep one's fingers crossed	clitic	3	0	3	0.00	no	I earned my keep.	my … keep
keep someone company	clitic	3	3	3	1.00	yes		
keep someone posted	clitic	3	3	3	1.00	yes		
keep to one's own knitting	clitic	3	0	3	0.00	no	I earned my keep.	my … keep
kick someone's ass	filled	3	3	3	1.00	yes		
kick someone's butt	clitic	3	3	3	1.00	yes		
know one's place	clitic	3	3	3	1.00	yes		
know one's place	filled	3	0	3	0.00	no	I know a good place for dinner.	know … place … dinner
know one's shit	filled	3	0	3	0.00	no	I don't know shit about any container.	know … shit … container
laugh in someone's face	clitic	3	0	3	0.00	no	Her laugh was a lie that concealed her sorrow.	Her … laugh
leave someone cold	filled	3	2	3	0.67	yes	Truth is like a blanket that always leaves your feet cold.	leaves … feet … cold
let one loose	filled	3	3	3	1.00	yes		
let one's guard down	clitic	3	3	3	1.00	yes		
let someone have it	clitic	3	2	3	0.67	yes	I'm happy to let you have it.	let … you … have … it
let someone loose	filled	3	3	3	1.00	yes		
let something slip	clitic	3	2	3	0.67	yes	You think I would just let you slip away?	let … you … slip
lose one's nerve	clitic	3	3	3	1.00	yes		
lose one's touch	clitic	3	3	3	1.00	yes		
make one's bed	filled	3	3	3	1.00	yes		
make one's bow	clitic	3	0	3	0.00	no	Do you mind my making a suggestion?	my … making
make one's bow	filled	3	0	3	0.00	no	It'll give you the make and model of the van you're looking for.	make … van
make someone's skin crawl	clitic	3	3	3	1.00	yes		
oar in someone's boat	clitic	3	0	3	0.00	no	Leave me alone and mind your oars!	your … oars
on one's deathbed	clitic	3	3	3	1.00	yes		
on one's game	clitic	3	0	3	0.00	no	But come fall, I'll be focused on my game.	on … my … game
on one's head	filled	3	3	3	1.00	yes		
on one's mark	clitic	3	3	3	1.00	yes		
on one's part	filled	3	1	3	0.33	no	Both working on our distinct individual parts of that mission.	on … parts … mission
on someone's tail	clitic	3	2	3	0.67	yes	It started on her tail and spread to her whole body.	on … her … tail
one's door is open	clitic	3	3	3	1.00	yes		
one's fill	filled	3	3	3	1.00	yes		
one's own boss	clitic	3	3	3	1.00	yes		
pay one's dues	clitic	3	2	3	0.67	yes	Sviridova, when are you going to pay your union dues?	pay … your … dues
pay one's way	clitic	3	2	3	0.67	yes	My grandmother paid my way to Boston.	paid … my … way
pay someone's way	clitic	3	3	3	1.00	yes		
pee in one's pants	clitic	3	0	3	0.00	no	My pee is black.	My … pee
put out of one's mind	clitic	3	3	3	1.00	yes		
rack one's brain	clitic	3	3	3	1.00	yes		
raise one's glass	clitic	3	3	3	1.00	yes		
read someone's mind	filled	3	3	3	1.00	yes		
redeem oneself	clitic	3	3	3	1.00	yes		
refresh someone's memory	clitic	3	3	3	1.00	yes		
rod for one's breech	clitic	3	0	3	0.00	no	Give me your rod.	your … rod
save something for a rainy day	filled	3	3	3	1.00	yes		
say one's prayers	clitic	3	3	3	1.00	yes		
say someone's prayers	clitic	3	3	3	1.00	yes		
see someone off	clitic	3	3	3	1.00	yes		
sell one's soul to the devil	clitic	3	3	3	1.00	yes		
send someone packing	filled	3	3	3	1.00	yes		
service oneself	filled	3	0	3	0.00	no	How many men did you service?	men … service
show one's ass	clitic	3	2	3	0.67	yes	Show off your ass.	Show … your … ass
show one's work	clitic	3	1	3	0.33	no	At the end of the year we show our work.	show … our … work
show someone a good time	filled	3	3	3	1.00	yes		
shut one's eyes	clitic	3	3	3	1.00	yes		
sick to one's stomach	clitic	3	3	3	1.00	yes		
speak someone's language	filled	3	1	3	0.33	no	Do you speak any other language besides English?	speak … language … English
spoil somebody rotten	filled	3	3	3	1.00	yes		
spoil someone rotten	filled	3	3	3	1.00	yes		
stake one's life	filled	3	0	3	0.00	no	A wooden stake to the heart.	stake … heart
stand one's ground	clitic	3	3	3	1.00	yes		
stare someone in the face	clitic	3	3	3	1.00	yes		
suck someone's cock	clitic	3	3	3	1.00	yes		
sun oneself	clitic	3	3	3	1.00	yes		
sun oneself	filled	3	3	3	1.00	yes		
take it upon oneself	filled	3	3	3	1.00	yes		
take one's chance	clitic	3	3	3	1.00	yes		
take one's chances	clitic	3	3	3	1.00	yes		
take one's leave	filled	3	2	3	0.67	yes	Our hero took a leave of two weeks.	took … leave … weeks
take one's life	filled	3	3	3	1.00	yes		
take one's seat	filled	3	3	3	1.00	yes		
take someone's fancy	filled	3	0	3	0.00	no	He took a fancy to her.	took … fancy … her
take someone's life	filled	3	3	3	1.00	yes		
take someone's word for it	clitic	3	3	3	1.00	yes		
thumb one's nose	filled	3	0	3	0.00	no	Mother's thumb is twitching.	Mother … thumb
tie someone's hands	clitic	3	3	3	1.00	yes		
tighten one's belt	clitic	3	3	3	1.00	yes		
try one's luck	clitic	3	3	3	1.00	yes		
try someone's patience	clitic	3	3	3	1.00	yes		
turn one's back	filled	3	3	3	1.00	yes		
twist someone's balls	filled	3	0	3	0.00	no	All the good ones have a little twist in the tale.	twist … tale
up someone's alley	clitic	3	3	3	1.00	yes		
use one's coconut	clitic	3	0	3	0.00	no	All this is for my personal use.	my … use
watch one's language	clitic	3	3	3	1.00	yes		
what someone is made of	filled	3	3	3	1.00	yes		
what was someone smoking	filled	3	0	3	0.00	no	Guess what I'm smoking right now!	what … I … 'm … smoking
win someone's heart	clitic	3	3	3	1.00	yes		
wish someone well	filled	3	3	3	1.00	yes		
with one's eyes shut	clitic	3	2	3	0.67	yes	I have to wake up with my eyes shut!	with … my … eyes … shut
words fail someone	filled	3	3	3	1.00	yes		
Earth to someone	filled	2	2	2	1.00	yes		
God love someone	filled	2	0	2	0.00	no	God loves me and watches over me.	God … loves … me
above oneself	filled	2	0	2	0.00	no	Sometimes he goes from above in the trees, sometimes from below in the water.	above … trees
answer someone's prayers	clitic	2	2	2	1.00	yes		
ants in one's pants	clitic	2	2	2	1.00	yes		
ask for someone's hand in marriage	clitic	2	2	2	1.00	yes		
assert oneself	clitic	2	2	2	1.00	yes		
at one's best	clitic	2	2	2	1.00	yes		
at the top of one's lungs	clitic	2	2	2	1.00	yes		
bang for one's buck	clitic	2	2	2	1.00	yes		
bare one's soul	clitic	2	2	2	1.00	yes		
bash someone's head	clitic	2	2	2	1.00	yes		
be one's own worst enemy	clitic	2	2	2	1.00	yes		
before one's eyes	filled	2	2	2	1.00	yes		
